hid,pid,pilabour,sex,age,marital,disabled,educlev,lfs,status1,ind1_c,occ1_c,hilabour,nhhmem,hpopwgt
380,2.0,32048.14453125,[1]male,48,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[7]wholesale and retail trade; repair of motor vehicles and motorcycles,[2]office worker,68846.80859375,[2]2 hh members,5689.7978515625
385,1.0,37800.83984375,[1]male,46,[220]formerly married/in union,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[8]transportation and storage,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",37800.83984375,[1]1 hh member,2387.487060546875
431,1.0,69309.1953125,[1]male,50,[110]married,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[11]financial and insurance activities,[4]junior/middle manager,124816.32421875,[4]4 hh members,2195.23681640625
431,2.0,55507.12890625,[2]female,50,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[11]financial and insurance activities,[4]junior/middle manager,124816.32421875,[4]4 hh members,2195.23681640625
439,2.0,15322.2236328125,[2]female,54,[220]formerly married/in union,[1]disabled,[210]upper secondary,[100]employed,[110]regular employee,"[4]electricity, gas, steam and air-conditioning supply","[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",15322.2236328125,[2]2 hh members,2204.201416015625
481,1.0,36343.21044921875,[1]male,59,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[8]transportation and storage,[2]office worker,55363.373046875,[3]3 hh members,908.7631225585938
481,2.0,11655.595703125,[2]female,53,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[16]education,[2]office worker,55363.373046875,[3]3 hh members,908.7631225585938
488,1.0,8989.4921875,[2]female,49,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,"[18]arts, entertainment and recreation","[3]school teacher (all schools, including teacher with term appointment, special contract or similar)",47418.76953125,[5]5 hh members,1994.126708984375
534,2.0,8564.5673828125,[1]male,40,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[19]other service activities,[2]office worker,8564.5673828125,[2]2 hh members,1207.5936279296875
581,2.0,14364.568359375,[1]male,60,[110]married,[0]not disabled,[120]primary,[100]employed,[110]regular employee,[7]wholesale and retail trade; repair of motor vehicles and motorcycles,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",41316.814453125,[5]5 hh members,746.8779296875
581,3.0,11114.5751953125,[2]female,34,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[7]wholesale and retail trade; repair of motor vehicles and motorcycles,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",41316.814453125,[5]5 hh members,746.8779296875
581,4.0,15837.6708984375,[1]male,33,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[19]other service activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",41316.814453125,[5]5 hh members,746.8779296875
595,1.0,23287.52734375,[1]male,53,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,[2]office worker,40557.345703125,[3]3 hh members,3728.320068359375
595,2.0,17269.818359375,[2]female,47,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,[2]office worker,40557.345703125,[3]3 hh members,3728.320068359375
634,1.0,13961.5234375,[2]female,41,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[16]education,"[3]school teacher (all schools, including teacher with term appointment, special contract or similar)",39270.119140625,[4]4 hh members,3795.11767578125
634,2.0,25308.595703125,[1]male,44,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,[2]office worker,39270.119140625,[4]4 hh members,3795.11767578125
641,2.0,98129.92956542969,[2]female,50,[220]formerly married/in union,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,"[5]senior manager, senior official, school head, director of studies, university teacher, magistrate",98129.92956542969,[2]2 hh members,1455.4039306640625
659,2.0,80299.71875,[2]female,51,[110]married,[0]not disabled,[313]master or equivalent,[100]employed,[110]regular employee,[16]education,"[5]senior manager, senior official, school head, director of studies, university teacher, magistrate",80299.71875,[3]3 hh members,2731.963134765625
663,1.0,30545.509765625,[1]male,57,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,"[4]electricity, gas, steam and air-conditioning supply",[2]office worker,117177.931640625,[2]2 hh members,1607.1651611328125
717,2.0,25108.990234375,[1]male,58,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[6]construction,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",25108.990234375,[4]4 hh members,706.9364624023438
740,2.0,33383.05859375,[1]male,46,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,[4]junior/middle manager,33383.05859375,[3]3 hh members,1573.644287109375
742,2.0,32343.71875,[1]male,58,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[11]financial and insurance activities,[4]junior/middle manager,49623.935546875,[3]3 hh members,3745.87060546875
769,1.0,13686.560546875,[2]female,52,[220]formerly married/in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[8]transportation and storage,[2]office worker,80123.560546875,[4]4 hh members,4705.46728515625
769,2.0,21743.46875,[1]male,30,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[8]transportation and storage,[2]office worker,80123.560546875,[4]4 hh members,4705.46728515625
813,1.0,23144.02734375,[2]female,53,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,[2]office worker,23144.02734375,[3]3 hh members,1555.2640380859375
851,1.0,21452.24609375,[1]male,40,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",30041.6044921875,[3]3 hh members,1986.380859375
851,2.0,8589.3583984375,[2]female,39,[210]never married/not in union,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[19]other service activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",30041.6044921875,[3]3 hh members,1986.380859375
876,1.0,21140.40625,[1]male,48,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[19]other service activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",21140.40625,[3]3 hh members,2638.635009765625
922,1.0,46846.84375,[1]male,54,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[2]mining and quarrying,[2]office worker,56747.6015625,[3]3 hh members,974.6630859375
922,2.0,9900.7578125,[2]female,53,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[16]education,[2]office worker,56747.6015625,[3]3 hh members,974.6630859375
930,1.0,10014.91015625,[2]female,55,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[17]human health and social work activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",10014.91015625,[2]2 hh members,3977.7529296875
933,1.0,17349.357421875,[2]female,41,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[7]wholesale and retail trade; repair of motor vehicles and motorcycles,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",48530.359375,[4]4 hh members,5038.54638671875
942,1.0,11874.0849609375,[1]male,49,[220]formerly married/in union,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",11874.0849609375,[1]1 hh member,1263.146728515625
950,1.0,19981.18359375,[2]female,46,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",29813.4267578125,[4]4 hh members,1402.7342529296875
950,4.0,9832.2431640625,[2]female,41,[210]never married/not in union,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",29813.4267578125,[4]4 hh members,1402.7342529296875
968,2.0,7242.41943359375,[2]female,51,[210]never married/not in union,[0]not disabled,[120]primary,[100]employed,[110]regular employee,[20]activities of households as employers; undifferentiated goods and services-producing activities of households for own use,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",7242.41943359375,[2]2 hh members,4829.7041015625
970,3.0,22433.783203125,[1]male,37,[210]never married/not in union,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",22433.783203125,[3]3 hh members,1841.6944580078125
993,3.0,10364.576171875,[1]male,36,[210]never married/not in union,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",10364.576171875,[3]3 hh members,1615.9656982421875
1025,1.0,41234.69140625,[1]male,56,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,"[4]electricity, gas, steam and air-conditioning supply","[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",41234.69140625,[1]1 hh member,1052.365234375
1063,1.0,35386.66540527344,[1]male,40,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[3]manufacturing,[4]junior/middle manager,46775.13415527344,[4]4 hh members,2408.92431640625
1063,2.0,11388.46875,[2]female,39,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[3]manufacturing,[2]office worker,46775.13415527344,[4]4 hh members,2408.92431640625
1086,1.0,14543.314453125,[1]male,44,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",14543.314453125,[2]2 hh members,7804.31298828125
1093,1.0,23394.51953125,[1]male,50,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",30120.515625,[3]3 hh members,10917.4267578125
1129,1.0,129635.6328125,[1]male,60,[110]married,[0]not disabled,[313]master or equivalent,[100]employed,[110]regular employee,[17]human health and social work activities,"[5]senior manager, senior official, school head, director of studies, university teacher, magistrate",129635.6328125,[4]4 hh members,2528.068115234375
1154,1.0,25692.705078125,[1]male,60,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[19]other service activities,[2]office worker,25692.705078125,[5]5 hh members,11899.1884765625
1171,2.0,29522.83203125,[2]female,52,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[16]education,"[3]school teacher (all schools, including teacher with term appointment, special contract or similar)",58607.09765625,[4]4 hh members,3076.299560546875
1184,3.0,15681.62890625,[1]male,40,[210]never married/not in union,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",15681.62890625,[6]6 hh members,2977.3642578125
1195,2.0,22780.576171875,[1]male,52,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,"[1]agriculture, forestry and fishing","[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",22780.576171875,[5]5 hh members,1620.0875244140625
1214,2.0,26532.28125,[1]male,52,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",26532.28125,[3]3 hh members,1335.9393310546875
1216,1.0,20042.609375,[1]male,50,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",20042.609375,[3]3 hh members,8226.4091796875
1271,2.0,17390.126953125,[1]male,44,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[19]other service activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",17390.126953125,[3]3 hh members,4838.65771484375
1286,1.0,7481.89794921875,[2]female,53,[110]married,[0]not disabled,[120]primary,[100]employed,[110]regular employee,[19]other service activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",27783.98583984375,[2]2 hh members,4112.2216796875
1286,2.0,20302.087890625,[1]male,55,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[19]other service activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",27783.98583984375,[2]2 hh members,4112.2216796875
1324,1.0,15364.5673828125,[2]female,52,[220]formerly married/in union,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",47550.29296875,[5]5 hh members,1244.83056640625
1324,2.0,15364.5673828125,[1]male,32,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",47550.29296875,[5]5 hh members,1244.83056640625
1324,4.0,16821.158203125,[2]female,32,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[7]wholesale and retail trade; repair of motor vehicles and motorcycles,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",47550.29296875,[5]5 hh members,1244.83056640625
1350,1.0,16376.7490234375,[2]female,53,[110]married,[0]not disabled,[120]primary,[100]employed,[110]regular employee,[19]other service activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",16376.7490234375,[4]4 hh members,4063.094970703125
1351,3.0,19035.40234375,[1]male,30,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[6]construction,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",19035.40234375,[3]3 hh members,3427.714599609375
1352,2.0,19580.34442138672,[1]male,53,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[19]other service activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",30044.93328857422,[3]3 hh members,966.220458984375
1377,1.0,92340.1357421875,[1]male,48,[220]formerly married/in union,[0]not disabled,[313]master or equivalent,[100]employed,[110]regular employee,[11]financial and insurance activities,"[5]senior manager, senior official, school head, director of studies, university teacher, magistrate",92340.1357421875,[1]1 hh member,1393.421875
1398,1.0,9441.90234375,[1]male,45,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[6]construction,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",9441.90234375,[1]1 hh member,8493.5439453125
1401,1.0,17654.92578125,[1]male,60,[210]never married/not in union,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",17654.92578125,[1]1 hh member,1932.676025390625
1405,1.0,15118.87109375,[1]male,54,[110]married,[0]not disabled,[120]primary,[100]employed,[110]regular employee,[6]construction,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",15118.87109375,[2]2 hh members,2301.517822265625
1414,2.0,28308.40234375,[1]male,44,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,[4]junior/middle manager,42204.3017578125,[4]4 hh members,8515.9423828125
1444,2.0,32933.3515625,[2]female,60,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,"[3]school teacher (all schools, including teacher with term appointment, special contract or similar)",32933.3515625,[2]2 hh members,1033.35986328125
1512,1.0,13908.3623046875,[2]female,54,[110]married,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[7]wholesale and retail trade; repair of motor vehicles and motorcycles,[2]office worker,122978.01953125,[4]4 hh members,5872.265625
1512,2.0,109069.6572265625,[1]male,54,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[11]financial and insurance activities,[4]junior/middle manager,122978.01953125,[4]4 hh members,5872.265625
1526,1.0,14524.3359375,[2]female,52,[220]formerly married/in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[19]other service activities,[2]office worker,14524.3359375,[3]3 hh members,746.172607421875
1564,1.0,21523.5078125,[2]female,57,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[12]real estate activities,[2]office worker,21523.5078125,[1]1 hh member,1515.5736083984375
1578,2.0,26969.943359375,[2]female,57,[110]married,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[17]human health and social work activities,"[5]senior manager, senior official, school head, director of studies, university teacher, magistrate",26969.943359375,[3]3 hh members,519.3807983398438
1582,1.0,24589.478515625,[2]female,51,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[16]education,[2]office worker,63015.88671875,[4]4 hh members,996.7395629882812
1695,1.0,15409.1123046875,[1]male,48,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",15409.1123046875,[7]7 hh members,2219.99267578125
1698,1.0,13123.474609375,[2]female,48,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[14]administrative and support service activities,[2]office worker,13123.474609375,[4]4 hh members,2019.3905029296875
1716,1.0,12131.888671875,[2]female,41,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[7]wholesale and retail trade; repair of motor vehicles and motorcycles,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",45220.138671875,[3]3 hh members,5068.9365234375
1716,2.0,33088.25,[1]male,47,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[7]wholesale and retail trade; repair of motor vehicles and motorcycles,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",45220.138671875,[3]3 hh members,5068.9365234375
1721,1.0,35560.04296875,[1]male,47,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[2]mining and quarrying,[2]office worker,35560.04296875,[5]5 hh members,946.4124755859375
1797,2.0,29671.810546875,[1]male,53,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[21]activities of extraterritorial organizations and bodies,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",29671.810546875,[3]3 hh members,1684.288818359375
1813,1.0,4822.72607421875,[2]female,47,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[20]activities of households as employers; undifferentiated goods and services-producing activities of households for own use,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",20487.29345703125,[5]5 hh members,1723.2542724609375
1813,2.0,15664.5673828125,[1]male,40,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[19]other service activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",20487.29345703125,[5]5 hh members,1723.2542724609375
1820,1.0,63769.83984375,[1]male,52,[110]married,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[16]education,"[3]school teacher (all schools, including teacher with term appointment, special contract or similar)",107496.3125,[3]3 hh members,3346.023193359375
1820,2.0,43726.47265625,[2]female,54,[110]married,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[16]education,"[3]school teacher (all schools, including teacher with term appointment, special contract or similar)",107496.3125,[3]3 hh members,3346.023193359375
1862,1.0,8800.19921875,[2]female,51,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[7]wholesale and retail trade; repair of motor vehicles and motorcycles,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",37243.984375,[2]2 hh members,1856.539306640625
1862,2.0,28443.78515625,[1]male,51,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",37243.984375,[2]2 hh members,1856.539306640625
1881,1.0,22890.826171875,[1]male,52,[110]married,[0]not disabled,[120]primary,[100]employed,[110]regular employee,[8]transportation and storage,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",22890.826171875,[4]4 hh members,1164.5640869140625
1928,1.0,20088.673828125,[2]female,37,[110]married,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,[4]junior/middle manager,59508.4287109375,[4]4 hh members,5477.2451171875
1928,2.0,39419.7548828125,[1]male,46,[110]married,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[3]manufacturing,[2]office worker,59508.4287109375,[4]4 hh members,5477.2451171875
1948,2.0,3282.92333984375,[1]male,59,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[20]activities of households as employers; undifferentiated goods and services-producing activities of households for own use,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",23416.80419921875,[3]3 hh members,850.9552001953125
1957,2.0,24303.78515625,[1]male,43,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[6]construction,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",24303.78515625,[3]3 hh members,9036.076171875
