hid,pid,sex,relation,inum_x,age,marital,health_c,educlev,status1,ind1_c,occ1_c,basb,bafr1_c,hpopwgt,hhtype,inum_y,saves,y_tilde,groups
35,1,[1]male,[1000]head,1,40,[110]married,[2]good,[210]upper secondary,[100]dependent employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[20]saves,[4]not willing to take any financial risks,24895.074205504032,[220]couple with children,1,1,1,0
36,1,[1]male,[1000]head,1,59,[110]married,[3]fair,[210]upper secondary,[200]self-employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,272.53842309156425,[210]couple without children,1,1,1,0
38,1,[1]male,[1000]head,1,58,[110]married,[2]good,[312]bachelor or equivalent,[200]self-employed,[4]wholesale and retail trade,"[2]technical, sales, and administrative support occupations",[20]saves,[2]take above average financial risks expecting to earn above average returns,9363.714810969828,[220]couple with children,1,1,1,0
39,1,[1]male,[1000]head,1,48,[110]married,[2]good,[313]master or equivalent,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,23393.06325097203,[220]couple with children,1,0,1,0
40,1,[2]female,[1000]head,1,43,[222]divorced,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[2]technical, sales, and administrative support occupations",[20]saves,[4]not willing to take any financial risks,23391.20744857943,[100]one person household,1,1,1,0
41,1,[1]male,[1000]head,1,58,[222]divorced,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,26860.97973451292,[100]one person household,1,1,1,0
42,1,[1]male,[1000]head,1,41,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[3]take average financial risks expecting to earn average returns,20331.195205986747,[220]couple with children,1,0,1,0
43,1,[1]male,[1000]head,1,31,[120]in consensual union,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,27616.82987602338,[220]couple with children,1,1,1,0
44,1,[1]male,[1000]head,1,45,[110]married,[2]good,[130]lower secondary,[200]self-employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[20]saves,[1]take substantial financial risks expecting to earn substantial returns,26529.05415363604,[220]couple with children,1,1,1,0
45,1,[1]male,[1000]head,1,29,[120]in consensual union,[2]good,[210]upper secondary,[200]self-employed,[3]manufacturing,[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,18997.26409265244,[210]couple without children,1,1,1,0
46,1,[1]male,[1000]head,1,44,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,18062.828480476135,[220]couple with children,1,1,1,0
47,1,[1]male,[1000]head,1,40,[110]married,[1]excellent,[312]bachelor or equivalent,[200]self-employed,"[1]agriculture, forestry and fisheries","[6]farming, forestry, and fishing occupations",[20]saves,[2]take above average financial risks expecting to earn above average returns,1623.6256101360416,[220]couple with children,1,1,1,0
48,1,[1]male,[1000]head,1,56,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,24212.578516622263,[210]couple without children,1,1,1,0
49,1,[1]male,[1000]head,1,55,[110]married,[2]good,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,20527.305322133474,[220]couple with children,1,1,1,0
50,1,[1]male,[1000]head,1,42,[110]married,[3]fair,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[11]does not save: expenses exceed income,[3]take average financial risks expecting to earn average returns,5753.373818779646,[220]couple with children,1,0,1,0
51,1,[1]male,[1000]head,1,69,[110]married,[1]excellent,[313]master or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[1]take substantial financial risks expecting to earn substantial returns,11579.980282350636,[210]couple without children,1,1,1,0
54,1,[2]female,[1000]head,1,59,[222]divorced,[1]excellent,[312]bachelor or equivalent,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,18686.72118950655,[100]one person household,1,1,1,0
55,1,[2]female,[1000]head,1,32,[210]never married/not in union,[2]good,[110]less than primary,[100]dependent employed,[4]wholesale and retail trade,"[4]precision production, craft, and repair occupations",[20]saves,[4]not willing to take any financial risks,25925.301533077898,[330]one parent with children and relatives,1,1,1,0
56,1,[1]male,[1000]head,1,48,[110]married,[1]excellent,[210]upper secondary,[200]self-employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,24522.750598159575,[220]couple with children,1,0,1,0
59,1,[1]male,[1000]head,1,75,[110]married,[3]fair,[210]upper secondary,[200]self-employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,194.75533138042837,[210]couple without children,1,1,1,0
62,1,[1]male,[1000]head,1,35,[110]married,[2]good,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,"[2]technical, sales, and administrative support occupations",[20]saves,[2]take above average financial risks expecting to earn above average returns,18712.59260949983,[220]couple with children,1,1,1,0
63,1,[1]male,[1000]head,1,66,[110]married,[1]excellent,[313]master or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,23675.979289617622,[210]couple without children,1,1,1,0
64,1,[1]male,[1000]head,1,30,[120]in consensual union,[4]poor,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,"[5]operators, fabricators, and laborers",[20]saves,[4]not willing to take any financial risks,26735.607512580274,[210]couple without children,1,1,1,0
65,1,[1]male,[1000]head,1,42,[210]never married/not in union,[2]good,[312]bachelor or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,19574.36549116342,[100]one person household,1,1,1,0
68,1,[1]male,[1000]head,1,41,[110]married,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[2]technical, sales, and administrative support occupations",[20]saves,[3]take average financial risks expecting to earn average returns,32639.73916233527,[220]couple with children,1,1,1,0
70,1,[1]male,[1000]head,1,62,[110]married,[2]good,[320]doctorate or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,149.98999894709925,[210]couple without children,1,1,1,0
71,1,[1]male,[1000]head,1,66,[110]married,[2]good,[313]master or equivalent,[200]self-employed,[3]manufacturing,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,17540.578924027035,[220]couple with children,1,1,1,0
73,1,[1]male,[1000]head,1,48,[120]in consensual union,[3]fair,[210]upper secondary,[100]dependent employed,[3]manufacturing,[3]service occupations (including armed forces),[20]saves,[4]not willing to take any financial risks,18841.766403904963,[220]couple with children,1,1,1,0
74,1,[1]male,[1000]head,1,61,[110]married,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[3]service occupations (including armed forces),[20]saves,[2]take above average financial risks expecting to earn above average returns,25003.60017998683,[220]couple with children,1,1,1,0
75,1,[2]female,[1000]head,1,41,[210]never married/not in union,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[5]operators, fabricators, and laborers",[20]saves,[3]take average financial risks expecting to earn average returns,19569.545231014577,[230]one parent with children,1,1,1,0
76,1,[1]male,[1000]head,1,32,[110]married,[2]good,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[1]take substantial financial risks expecting to earn substantial returns,21253.16974421981,[220]couple with children,1,0,1,0
77,1,[1]male,[1000]head,1,45,[110]married,[2]good,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[11]does not save: expenses exceed income,[3]take average financial risks expecting to earn average returns,17973.39510728421,[220]couple with children,1,0,1,0
79,1,[1]male,[1000]head,1,40,[110]married,[1]excellent,[320]doctorate or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,907.5290758677845,[220]couple with children,1,1,1,0
81,1,[1]male,[1000]head,1,53,[222]divorced,[2]good,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,[3]service occupations (including armed forces),[20]saves,[4]not willing to take any financial risks,30880.607177832426,[100]one person household,1,1,1,0
82,1,[2]female,[1000]head,1,46,[221]separated,[2]good,[130]lower secondary,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[3]service occupations (including armed forces),[20]saves,[4]not willing to take any financial risks,28517.420375331876,[230]one parent with children,1,1,1,0
84,1,[2]female,[1000]head,1,56,[222]divorced,[2]good,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,"[5]operators, fabricators, and laborers",[20]saves,[4]not willing to take any financial risks,26987.98899171641,[100]one person household,1,1,1,0
86,1,[2]female,[1000]head,1,62,[222]divorced,[2]good,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[11]does not save: expenses exceed income,[3]take average financial risks expecting to earn average returns,22687.338909005382,[100]one person household,1,0,1,0
87,1,[1]male,[1000]head,1,71,[223]widowed,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,39123.401096105285,[100]one person household,1,1,1,0
88,1,[1]male,[1000]head,1,74,[223]widowed,[1]excellent,[313]master or equivalent,[200]self-employed,"[5]finance, insurance and real estate, business and repair services","[2]technical, sales, and administrative support occupations",[20]saves,[4]not willing to take any financial risks,18156.000283852045,[100]one person household,1,1,1,0
89,1,[1]male,[1000]head,1,28,[120]in consensual union,[2]good,[311]short-cycle tertiary,[100]dependent employed,[4]wholesale and retail trade,[3]service occupations (including armed forces),[20]saves,[3]take average financial risks expecting to earn average returns,23600.429324310633,[210]couple without children,1,1,1,0
90,1,[1]male,[1000]head,1,71,[110]married,[2]good,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,193.87220081206104,[210]couple without children,1,1,1,0
91,1,[1]male,[1000]head,1,59,[120]in consensual union,[3]fair,[312]bachelor or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[3]service occupations (including armed forces),[11]does not save: expenses exceed income,[4]not willing to take any financial risks,5077.885640209943,[210]couple without children,1,0,1,0
95,1,[2]female,[1000]head,1,35,[222]divorced,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,24648.876339388,[230]one parent with children,1,1,1,0
97,1,[1]male,[1000]head,1,66,[110]married,[2]good,[312]bachelor or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,8812.138973253197,[210]couple without children,1,1,1,0
98,1,[1]male,[1000]head,1,61,[222]divorced,[1]excellent,[210]upper secondary,[200]self-employed,[2]mining and construction,[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,11171.506379677496,[100]one person household,1,0,1,0
99,1,[2]female,[1000]head,1,38,[210]never married/not in union,[3]fair,[312]bachelor or equivalent,[100]dependent employed,[2]mining and construction,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,21237.38093521697,[100]one person household,1,1,1,0
100,1,[1]male,[1000]head,1,62,[110]married,[1]excellent,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[11]does not save: expenses exceed income,[4]not willing to take any financial risks,16764.096843557163,[210]couple without children,1,0,1,0
101,1,[1]male,[1000]head,1,58,[110]married,[2]good,[210]upper secondary,[200]self-employed,"[5]finance, insurance and real estate, business and repair services","[2]technical, sales, and administrative support occupations",[20]saves,[3]take average financial risks expecting to earn average returns,17243.150114045853,[210]couple without children,1,1,1,0
102,1,[1]male,[1000]head,1,68,[110]married,[2]good,[311]short-cycle tertiary,[100]dependent employed,[4]wholesale and retail trade,"[2]technical, sales, and administrative support occupations",[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,21909.02218518617,[210]couple without children,1,0,1,0
103,1,[1]male,[1000]head,1,46,[222]divorced,[2]good,[210]upper secondary,[100]dependent employed,[3]manufacturing,"[2]technical, sales, and administrative support occupations",[20]saves,[2]take above average financial risks expecting to earn above average returns,21285.7604978193,[100]one person household,1,1,1,0
104,1,[1]male,[1000]head,1,49,[120]in consensual union,[1]excellent,[311]short-cycle tertiary,[100]dependent employed,[3]manufacturing,[1]managerial and professional occupations,[11]does not save: expenses exceed income,[2]take above average financial risks expecting to earn above average returns,25756.864916699433,[220]couple with children,1,0,1,0
105,1,[1]male,[1000]head,1,39,[110]married,[2]good,[130]lower secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[2]technical, sales, and administrative support occupations",[20]saves,[3]take average financial risks expecting to earn average returns,23693.618093883113,[220]couple with children,1,1,1,0
107,1,[2]female,[1000]head,1,51,[222]divorced,[2]good,[210]upper secondary,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services","[2]technical, sales, and administrative support occupations",[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,33557.60231990566,[100]one person household,1,0,1,0
110,1,[1]male,[1000]head,1,51,[110]married,[3]fair,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[11]does not save: expenses exceed income,[2]take above average financial risks expecting to earn above average returns,7899.970994199331,[220]couple with children,1,0,1,0
111,1,[1]male,[1000]head,1,38,[110]married,[1]excellent,[312]bachelor or equivalent,[200]self-employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,146.2318519463754,[220]couple with children,1,1,1,0
113,1,[2]female,[1000]head,1,52,[110]married,[2]good,[320]doctorate or equivalent,[200]self-employed,[4]wholesale and retail trade,"[2]technical, sales, and administrative support occupations",[20]saves,[3]take average financial risks expecting to earn average returns,1757.5451720986437,[220]couple with children,1,1,1,0
116,1,[1]male,[1000]head,1,52,[110]married,[2]good,[313]master or equivalent,[100]dependent employed,[3]manufacturing,[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,1862.3382358391295,[210]couple without children,1,1,1,0
117,1,[1]male,[1000]head,1,60,[110]married,[2]good,[311]short-cycle tertiary,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,9165.063787778736,[220]couple with children,1,1,1,0
119,1,[1]male,[1000]head,1,48,[110]married,[3]fair,[130]lower secondary,[100]dependent employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[11]does not save: expenses exceed income,[4]not willing to take any financial risks,24660.359043630342,[220]couple with children,1,0,1,0
120,1,[1]male,[1000]head,1,65,[110]married,[1]excellent,[130]lower secondary,[200]self-employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[11]does not save: expenses exceed income,[4]not willing to take any financial risks,29337.648474864727,[210]couple without children,1,0,1,0
122,1,[2]female,[1000]head,1,42,[222]divorced,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,39166.61367616346,[230]one parent with children,1,1,1,0
125,1,[1]male,[1000]head,1,45,[110]married,[2]good,[120]primary,[100]dependent employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[11]does not save: expenses exceed income,[4]not willing to take any financial risks,30427.63418265372,[320]couple with children and relatives,1,0,1,0
126,1,[1]male,[1000]head,1,60,[110]married,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[4]precision production, craft, and repair occupations",[20]saves,[3]take average financial risks expecting to earn average returns,8059.332531597123,[210]couple without children,1,1,1,0
127,1,[1]male,[1000]head,1,62,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,22360.522882428493,[210]couple without children,1,1,1,0
128,1,[1]male,[1000]head,1,42,[110]married,[1]excellent,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,27579.86157269397,[210]couple without children,1,1,1,0
129,1,[1]male,[1000]head,1,48,[110]married,[3]fair,[320]doctorate or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[1]take substantial financial risks expecting to earn substantial returns,142.60211321764623,[220]couple with children,1,1,1,0
130,1,[1]male,[1000]head,1,40,[110]married,[2]good,[311]short-cycle tertiary,[100]dependent employed,[7]public administration and defence,[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,21333.639571208358,[220]couple with children,1,1,1,0
131,1,[1]male,[1000]head,1,51,[222]divorced,[1]excellent,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[3]service occupations (including armed forces),[11]does not save: expenses exceed income,[4]not willing to take any financial risks,20588.22981228324,[100]one person household,1,0,1,0
132,1,[1]male,[1000]head,1,45,[110]married,[3]fair,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[5]operators, fabricators, and laborers",[20]saves,[3]take average financial risks expecting to earn average returns,19960.674268417362,[220]couple with children,1,1,1,0
133,1,[1]male,[1000]head,1,27,[210]never married/not in union,[2]good,[312]bachelor or equivalent,[100]dependent employed,[4]wholesale and retail trade,[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,22125.27676868517,[100]one person household,1,0,1,0
134,1,[1]male,[1000]head,1,35,[110]married,[2]good,[210]upper secondary,[200]self-employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[20]saves,[4]not willing to take any financial risks,19258.137414087538,[220]couple with children,1,1,1,0
135,1,[2]female,[1000]head,1,40,[222]divorced,[2]good,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[3]take average financial risks expecting to earn average returns,27750.74968836932,[400]relatives living together (no family nucleus),1,0,1,0
136,1,[1]male,[1000]head,1,34,[110]married,[2]good,[130]lower secondary,[200]self-employed,[2]mining and construction,[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,35912.16856752863,[220]couple with children,1,1,1,0
140,1,[1]male,[1000]head,1,46,[110]married,[3]fair,[210]upper secondary,[200]self-employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[20]saves,[4]not willing to take any financial risks,28037.0566073917,[220]couple with children,1,1,1,0
141,1,[1]male,[1000]head,1,55,[110]married,[3]fair,[312]bachelor or equivalent,[200]self-employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,1159.0344996823294,[310]couple without children and relatives,1,0,1,0
142,1,[1]male,[1000]head,1,52,[210]never married/not in union,[2]good,[313]master or equivalent,[100]dependent employed,[7]public administration and defence,[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[3]take average financial risks expecting to earn average returns,17164.512847442544,[100]one person household,1,0,1,0
143,1,[2]female,[1000]head,1,71,[223]widowed,[4]poor,[313]master or equivalent,[200]self-employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,12215.492946464205,[100]one person household,1,0,1,0
144,1,[1]male,[1000]head,1,65,[223]widowed,[3]fair,[312]bachelor or equivalent,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,28.419514323356044,[100]one person household,1,1,1,0
146,1,[2]female,[1000]head,1,29,[210]never married/not in union,[2]good,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,[3]service occupations (including armed forces),[20]saves,[4]not willing to take any financial risks,26247.94359651429,[230]one parent with children,1,1,1,0
147,1,[1]male,[1000]head,1,56,[110]married,[2]good,[120]primary,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[5]operators, fabricators, and laborers",[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,25327.84505361073,[220]couple with children,1,0,1,0
